Tanggal,Nama_Game,Unit_Terjual,Harga_Satuan_USD,Pendapatan_USD
2026-01-17,Pixel Quest,57,20.0,1140.0
2026-01-17,Galaxy Strike,63,45.0,2835.0
2026-01-17,Mystic Legends,49,20.0,980.0
2026-01-18,Cyber Odyssey,56,45.0,2520.0
2026-01-18,Pixel Quest,64,20.0,1280.0
2026-01-18,Galaxy Strike,60,45.0,2700.0
2026-01-18,Mystic Legends,63,20.0,1260.0
2026-01-19,Cyber Odyssey,54,45.0,2430.0
2026-01-19,Pixel Quest,64,20.0,1280.0
2026-01-19,Galaxy Strike,47,45.0,2115.0
2026-01-19,Mystic Legends,45,20.0,900.0
2026-01-20,Cyber Odyssey,57,45.0,2565.0
2026-01-20,Pixel Quest,51,20.0,1020.0
2026-01-20,Galaxy Strike,39,45.0,1755.0
2026-01-20,Mystic Legends,61,20.0,1220.0
2026-01-21,Cyber Odyssey,47,45.0,2115.0
2026-01-21,Pixel Quest,60,20.0,1200.0
2026-01-21,Galaxy Strike,53,45.0,2385.0
2026-01-21,Mystic Legends,52,20.0,1040.0
2026-01-22,Cyber Odyssey,39,45.0,1755.0
2026-01-22,Pixel Quest,51,20.0,1020.0
2026-01-22,Galaxy Strike,53,45.0,2385.0
2026-01-22,Mystic Legends,55,20.0,1100.0
2026-01-23,Cyber Odyssey,46,45.0,2070.0
2026-01-23,Pixel Quest,53,20.0,1060.0
2026-01-23,Galaxy Strike,53,45.0,2385.0
2026-01-23,Mystic Legends,39,20.0,780.0
2026-01-24,Cyber Odyssey,55,45.0,2475.0
2026-01-24,Pixel Quest,70,20.0,1400.0
2026-01-24,Galaxy Strike,67,45.0,3015.0
2026-01-24,Mystic Legends,62,20.0,1240.0
2026-01-25,Cyber Odyssey,53,45.0,2385.0
2026-01-25,Pixel Quest,55,20.0,1100.0
2026-01-25,Galaxy Strike,63,45.0,2835.0
2026-01-25,Mystic Legends,72,20.0,1440.0
2026-01-26,Cyber Odyssey,48,45.0,2160.0
2026-01-26,Pixel Quest,45,20.0,900.0
2026-01-26,Galaxy Strike,58,45.0,2610.0
2026-01-26,Mystic Legends,42,20.0,840.0
2026-01-27,Cyber Odyssey,64,45.0,2880.0
2026-01-27,Pixel Quest,51,20.0,1020.0
2026-01-27,Galaxy Strike,41,45.0,1845.0
2026-01-27,Mystic Legends,60,20.0,1200.0
2026-01-28,Cyber Odyssey,54,45.0,2430.0
2026-01-28,Pixel Quest,47,20.0,940.0
2026-01-28,Galaxy Strike,57,45.0,2565.0
2026-01-28,Mystic Legends,50,20.0,1000.0
2026-01-29,Cyber Odyssey,57,45.0,2565.0
2026-01-29,Pixel Quest,54,20.0,1080.0
2026-01-29,Galaxy Strike,60,45.0,2700.0
2026-01-29,Mystic Legends,47,20.0,940.0
2026-01-30,Cyber Odyssey,52,45.0,2340.0
2026-01-30,Pixel Quest,49,20.0,980.0
2026-01-30,Galaxy Strike,45,45.0,2025.0
2026-01-30,Mystic Legends,29,20.0,580.0
